,mean,std,min,max,range,cv_%
strain(με)_structure_01,226.0997198879552,71.743591303891,81.8,337.8,256.0,31.730950988990113
strain(με)_structure_02,108.83027777777777,11.938538048288159,73.1,137.5,64.4,10.96986821320593
strain(με)_structure_03,177.9717086834734,86.97955016434209,48.2,341.5,293.3,48.87268364604912
